Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 4796, 1122, 147, 142, 56, 2, 
5, 4798, 1437, 11, 8, 7, 3, 
5, 4800, 1010, 61, 52, 40, 3, 
5, 4801, 874, 19, 0, 0, 0, 
5, 4813, 640, 10, 9, 3, 3, 
5, 4824, 808, 110, 102, 15, 1, 
5, 4829, 972, 2, 0, 0, 0, 
5, 4840, 1017, 13, 13, 17, 2.92, 
5, 4844, 435, 24, 24, 8, 2.08, 
5, 4852, 1270, 16, 16, 95, 5, 
5, 4873, 938, 148, 141, 36, 2.23, 
5, 4874, 522, 50, 50, 49, 3, 
5, 4890, 732, 157, 157, 630, 4, 
5, 4898, 809, 34, 32, 7, 2, 
5, 4910, 877, 195, 194, 118, 3, 
5, 4911, 1074, 39, 39, 249, 5, 
5, 4918, 1006, 19, 19, 86, 4, 
5, 4923, 442, 19, 0, 0, 0, 
5, 4930, 693, 116, 113, 41, 3, 
5, 4931, 860, 2, 0, 0, 0, 
5, 4940, 949, 65, 65, 23, 2, 
5, 4941, 703, 69, 66, 14, 2, 
5, 4944, 515, 21, 21, 25, 3, 
5, 4951, 569, 74, 65, 48, 3, 
5, 4961, 621, 52, 47, 11, 1.94, 
5, 4967, 984, 165, 165, 150, 2.99, 
5, 4973, 574, 9, 0, 0, 0, 
5, 4980, 926, 4, 4, 2, 2, 
5, 4989, 799, 199, 181, 19, 1, 
5, 4999, 618, 19, 13, 4, 1.38, 
5, 5004, 931, 32, 0, 0, 0, 
5, 5011, 617, 124, 122, 80, 3, 
5, 5011, 882, 26, 26, 17, 3, 
5, 5020, 398, 238, 233, 44, 2, 
5, 5020, 550, 44, 32, 3, 1.47, 
5, 5021, 1152, 129, 117, 12, 1, 
5, 5024, 1099, 13, 13, 50, 4, 
5, 5029, 944, 33, 32, 6, 3, 
5, 5034, 973, 23, 20, 6, 2, 
5, 5035, 843, 24, 24, 30, 3, 
5, 5054, 936, 12, 0, 0, 0, 
5, 5057, 550, 74, 74, 47, 3, 
5, 5059, 1038, 18, 4, 1, 2, 
5, 5066, 1081, 286, 275, 25, 1, 
5, 5081, 521, 115, 115, 39, 2, 
5, 5086, 1180, 39, 39, 10, 2, 
5, 5088, 529, 16, 14, 12, 2.79, 
5, 5118, 1179, 59, 59, 89, 3, 
5, 5119, 883, 33, 31, 20, 2, 
5, 5120, 562, 154, 0, 0, 0, 
5, 5126, 815, 9, 3, 2, 3, 
5, 5128, 984, 20, 20, 18, 3, 
5, 5140, 738, 9, 0, 0, 0, 
5, 5143, 879, 38, 38, 11, 1.92, 
5, 5150, 987, 53, 51, 24, 3, 
5, 5157, 509, 7, 5, 2, 1, 
5, 5166, 1020, 170, 170, 808, 4, 
5, 5192, 401, 32, 31, 11, 2, 
5, 5199, 1052, 46, 44, 8, 1.84, 
5, 5203, 829, 80, 80, 88, 3, 
5, 5205, 947, 2, 0, 0, 0, 
5, 5211, 949, 27, 27, 22, 2.85, 
5, 5214, 526, 24, 0, 0, 0, 
5, 5228, 379, 7, 7, 14, 3, 
5, 5231, 1055, 140, 140, 154, 3, 
5, 5241, 470, 38, 34, 3, 2, 
5, 5241, 1077, 40, 40, 57, 3, 
5, 5265, 596, 12, 11, 4, 1, 
5, 5274, 1123, 115, 115, 74, 3, 
5, 5275, 633, 96, 87, 2, 1, 
5, 5293, 1129, 104, 104, 648, 5, 
5, 5314, 537, 32, 28, 10, 2, 
5, 5321, 542, 35, 34, 1, 1, 
5, 5332, 806, 52, 44, 7, 2, 
5, 5357, 896, 61, 61, 66, 3, 
