Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_ABIEBALS,CohortsHarvested_ACERPENS,CohortsHarvested_ACERRUBR,CohortsHarvested_ACERSACC,CohortsHarvested_BETUALLE,CohortsHarvested_BETULENT,CohortsHarvested_BETUPAPY,CohortsHarvested_CARYCORD,CohortsHarvested_CARYOVAT,CohortsHarvested_FAGUGRAN,CohortsHarvested_FRAXAMER,CohortsHarvested_PICEABIE,CohortsHarvested_PICERUBE,CohortsHarvested_PINURESI,CohortsHarvested_PINUSTRO,CohortsHarvested_POPUGRAN,CohortsHarvested_POPUTREM,CohortsHarvested_PRUNPENS,CohortsHarvested_PRUNSERO,CohortsHarvested_QUERALBA,CohortsHarvested_QUERRUBR,CohortsHarvested_TILIAMER,CohortsHarvested_TSUGCANA,BiomassHarvestedMg_ABIEBALS,BiomassHarvestedMg_ACERPENS,BiomassHarvestedMg_ACERRUBR,BiomassHarvestedMg_ACERSACC,BiomassHarvestedMg_BETUALLE,BiomassHarvestedMg_BETULENT,BiomassHarvestedMg_BETUPAPY,BiomassHarvestedMg_CARYCORD,BiomassHarvestedMg_CARYOVAT,BiomassHarvestedMg_FAGUGRAN,BiomassHarvestedMg_FRAXAMER,BiomassHarvestedMg_PICEABIE,BiomassHarvestedMg_PICERUBE,BiomassHarvestedMg_PINURESI,BiomassHarvestedMg_PINUSTRO,BiomassHarvestedMg_POPUGRAN,BiomassHarvestedMg_POPUTREM,BiomassHarvestedMg_PRUNPENS,BiomassHarvestedMg_PRUNSERO,BiomassHarvestedMg_QUERALBA,BiomassHarvestedMg_QUERRUBR,BiomassHarvestedMg_TILIAMER,BiomassHarvestedMg_TSUGCANA,
5, 63, ClearCutSmall, 445, 2717, 0, 6833.55897154123, 26, 2, 325, 617, 400, 64, 71, 0, 0, 356, 328, 3, 50, 0, 79, 28, 53, 6, 118, 0, 69, 6, 116, 8.27190032869577, 1.03860004127026, 196.264807798862, 2857.66121355325, 1066.71604238749, 260.746210361123, 50.2164019954205, 0, 0, 472.46041877389, 781.405231050253, 0.734400029182434, 7.16490028470755, 0, 239.316309509575, 9.86850039213896, 15.6834006232023, 0.0594000023603439, 570.476722668707, 0, 202.075208029747, 28.9845011517405, 64.4148025596142, 
5, 63, PlantationConversion, 75, 361, 0, 800.169331795871, 4, 0, 37, 59, 37, 0, 10, 0, 0, 18, 8, 119, 11, 0, 3, 2, 21, 1, 9, 0, 0, 0, 22, 1.63170006483793, 0, 24.9795009925961, 323.817312867344, 148.579205904007, 0, 4.61340018332004, 0, 0, 63.5247025242448, 22.5378008955717, 119.384104743898, 1.32120005249977, 0, 21.2814008456469, 0.931500037014484, 5.2893002101779, 0.00990000039339066, 53.3088021183014, 0, 0, 0, 8.95950035601854, 
5, 63, SoftwoodRelease, 210, 406, 0, 307.011612199545, 0, 0, 0, 2, 136, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28080001115799, 247.223709823787, 0, 59.5071023645998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 63, GroupSelection, 69, 364, 0, 1026.47254078835, 0, 0, 22, 130, 91, 0, 4, 0, 0, 93, 18, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 11.4138004535437, 612.822624351382, 215.032508544624, 0, 1.02510004073381, 0, 0, 113.339704503715, 34.3143013635278, 0, 0, 0, 0, 0, 0, 0, 38.5245015308261, 0, 0, 0, 0, 
5, 63, GroupSelectionBeechUnderstory, 63, 345, 0, 532.530921160877, 3, 0, 12, 122, 45, 0, 20, 0, 0, 122, 15, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 9.39060037314892, 0, 17.5869006988406, 193.116607673764, 67.5072026824951, 0, 1.78110007077456, 0, 0, 200.78100797832, 23.5530009359121, 0, 4.64760018467903, 0, 0, 0, 0, 0, 13.635900541842, 0, 0, 0, 0.531000021100044, 
5, 63, OakShelterWood, 82, 418, 35, 1427.92565674067, 0, 0, 10, 186, 79, 0, 0, 0, 0, 66, 62, 0, 0, 0, 0, 0, 0, 0, 2, 0, 35, 10, 3, 0, 0, 1.67310006648302, 989.980239338279, 172.650606860518, 0, 0, 0, 0, 66.7440026521682, 110.484904390275, 0, 0, 0, 0, 0, 0, 0, 16.925400672555, 0, 20.1771008017659, 48.5262019282579, 0.764100030362606, 
5, 63, NHWShelterwood, 61, 84, 263, 367.174814590216, 0, 0, 18, 116, 57, 4, 3, 0, 0, 76, 34, 0, 0, 0, 8, 6, 0, 0, 8, 0, 8, 2, 7, 0, 0, 8.31150033026934, 104.10750413686, 35.0361013922095, 1.38060005486012, 7.4997002980113, 0, 0, 18.1305007204413, 123.065104890168, 0, 0, 0, 16.367400650382, 2.11950008422136, 0, 0, 43.2342017179728, 0, 4.31010017126799, 1.92960007667542, 1.68300006687641, 
10, 31, ClearCutLarge, 2010, 11539, 0, 27514.6633933345, 378, 46, 1804, 2273, 2003, 18, 331, 0, 0, 1464, 542, 162, 875, 6, 70, 91, 113, 4, 473, 8, 186, 24, 668, 203.036408067942, 14.1552005624771, 1664.0775661245, 11544.798158749, 6025.74683944166, 11.2158004456759, 229.41090911597, 0, 0, 2041.13798110753, 1117.81894441813, 176.588107016981, 205.177508153021, 10.240200406909, 461.802618350387, 46.1826018351316, 38.7738015407324, 1.59750006347895, 2135.02058483809, 6.19830024629831, 692.300727509558, 266.013010570407, 623.370624770522, 
10, 31, SoftwoodRelease, 1005, 3670, 0, 9151.60266365201, 0, 3, 1168, 393, 935, 23, 224, 0, 0, 384, 172, 0, 0, 0, 0, 16, 69, 3, 254, 1, 24, 1, 0, 0, 1.12500004470348, 1188.8235472396, 2520.83260016888, 3301.84633120358, 34.5087013712525, 78.214503107965, 0, 0, 518.98952062279, 358.592414249182, 0, 0, 0, 0, 12.7386005061865, 27.7272011017799, 1.93320007681847, 1046.25544157445, 0.792000031471253, 58.5018023246527, 0.721800028681755, 0, 
10, 31, PlantationConversion, 1012, 4752, 0, 9759.28088779896, 130, 3, 533, 469, 420, 0, 71, 0, 0, 227, 57, 1485, 593, 0, 59, 13, 119, 4, 121, 0, 6, 3, 439, 38.1222015148401, 0.429300017058849, 534.743121248782, 3144.68022495836, 1812.20137201041, 0, 34.1289013561606, 0, 0, 699.384627791047, 134.150405330658, 1684.57596693903, 182.925007268786, 0, 481.897819148898, 14.3613005706668, 31.3497012457252, 2.73960010886192, 521.964920741022, 0, 19.4463007727265, 15.4755006149411, 406.704616160989, 
