"class","npixels","year","areaHa","scenario","rep"
"13",5375,2037,483.75,"Current","Rep1"
"0",5431223,2038,488810.07,"Current","Rep1"
"1",1751960,2038,157676.4,"Current","Rep1"
"2",154107,2038,13869.63,"Current","Rep1"
"3",592149,2038,53293.41,"Current","Rep1"
"4",108446,2038,9760.14,"Current","Rep1"
"5",97636,2038,8787.24,"Current","Rep1"
"6",291606,2038,26244.54,"Current","Rep1"
"7",66517,2038,5986.53,"Current","Rep1"
"8",152637,2038,13737.33,"Current","Rep1"
"9",267306,2038,24057.54,"Current","Rep1"
"10",28993,2038,2609.37,"Current","Rep1"
"11",294459,2038,26501.31,"Current","Rep1"
"12",277590,2038,24983.1,"Current","Rep1"
"13",5375,2038,483.75,"Current","Rep1"
"0",5440711,2039,489663.99,"Current","Rep1"
"1",1749824,2039,157484.16,"Current","Rep1"
"2",154327,2039,13889.43,"Current","Rep1"
"3",590579,2039,53152.11,"Current","Rep1"
"4",107501,2039,9675.09,"Current","Rep1"
"5",97296,2039,8756.64,"Current","Rep1"
"6",293100,2039,26379,"Current","Rep1"
"7",66714,2039,6004.26,"Current","Rep1"
"8",152382,2039,13714.38,"Current","Rep1"
"9",264267,2039,23784.03,"Current","Rep1"
"10",28503,2039,2565.27,"Current","Rep1"
"11",292529,2039,26327.61,"Current","Rep1"
"12",276898,2039,24920.82,"Current","Rep1"
"13",5373,2039,483.57,"Current","Rep1"
"0",5439524,2040,489557.16,"Current","Rep1"
"1",1751603,2040,157644.27,"Current","Rep1"
"2",154371,2040,13893.39,"Current","Rep1"
"3",590927,2040,53183.43,"Current","Rep1"
"4",106948,2040,9625.32,"Current","Rep1"
"5",96515,2040,8686.35,"Current","Rep1"
"6",294489,2040,26504.01,"Current","Rep1"
"7",66746,2040,6007.14,"Current","Rep1"
"8",152366,2040,13712.94,"Current","Rep1"
"9",262409,2040,23616.81,"Current","Rep1"
"10",28360,2040,2552.4,"Current","Rep1"
"11",292428,2040,26318.52,"Current","Rep1"
"12",277943,2040,25014.87,"Current","Rep1"
"13",5375,2040,483.75,"Current","Rep1"
"0",5438407,2041,489456.63,"Current","Rep1"
"1",1755026,2041,157952.34,"Current","Rep1"
"2",155880,2041,14029.2,"Current","Rep1"
"3",591449,2041,53230.41,"Current","Rep1"
"4",106633,2041,9596.97,"Current","Rep1"
"5",96272,2041,8664.48,"Current","Rep1"
"6",295450,2041,26590.5,"Current","Rep1"
"7",66764,2041,6008.76,"Current","Rep1"
"8",152356,2041,13712.04,"Current","Rep1"
"9",258220,2041,23239.8,"Current","Rep1"
"10",28249,2041,2542.41,"Current","Rep1"
"11",291087,2041,26197.83,"Current","Rep1"
"12",278835,2041,25095.15,"Current","Rep1"
"13",5376,2041,483.84,"Current","Rep1"
"0",5437230,2042,489350.7,"Current","Rep1"
"1",1758200,2042,158238,"Current","Rep1"
"2",158116,2042,14230.44,"Current","Rep1"
"3",592656,2042,53339.04,"Current","Rep1"
"4",105921,2042,9532.89,"Current","Rep1"
"5",96247,2042,8662.23,"Current","Rep1"
"6",296295,2042,26666.55,"Current","Rep1"
"7",66805,2042,6012.45,"Current","Rep1"
"8",152362,2042,13712.58,"Current","Rep1"
"9",252365,2042,22712.85,"Current","Rep1"
"10",28115,2042,2530.35,"Current","Rep1"
"11",290266,2042,26123.94,"Current","Rep1"
"12",280049,2042,25204.41,"Current","Rep1"
"13",5377,2042,483.93,"Current","Rep1"
"0",5436252,2043,489262.68,"Current","Rep1"
"1",1759191,2043,158327.19,"Current","Rep1"
"2",158243,2043,14241.87,"Current","Rep1"
"3",593877,2043,53448.93,"Current","Rep1"
"4",104544,2043,9408.96,"Current","Rep1"
"5",96163,2043,8654.67,"Current","Rep1"
"6",297484,2043,26773.56,"Current","Rep1"
"7",66837,2043,6015.33,"Current","Rep1"
"8",152367,2043,13713.03,"Current","Rep1"
