"class","npixels","year","areaHa","scenario","rep"
"10",27751,2035,2497.59,"Current","Rep1"
"11",297024,2035,26732.16,"Current","Rep1"
"12",277269,2035,24954.21,"Current","Rep1"
"13",5404,2035,486.36,"Current","Rep1"
"0",5425790,2036,488321.1,"Current","Rep1"
"1",1747199,2036,157247.91,"Current","Rep1"
"2",153738,2036,13836.42,"Current","Rep1"
"3",579820,2036,52183.8,"Current","Rep1"
"4",113731,2036,10235.79,"Current","Rep1"
"5",101384,2036,9124.56,"Current","Rep1"
"6",292040,2036,26283.6,"Current","Rep1"
"7",66504,2036,5985.36,"Current","Rep1"
"8",151990,2036,13679.1,"Current","Rep1"
"9",280528,2036,25247.52,"Current","Rep1"
"10",27361,2036,2462.49,"Current","Rep1"
"11",297207,2036,26748.63,"Current","Rep1"
"12",277307,2036,24957.63,"Current","Rep1"
"13",5405,2036,486.45,"Current","Rep1"
"0",5424548,2037,488209.32,"Current","Rep1"
"1",1749715,2037,157474.35,"Current","Rep1"
"2",153930,2037,13853.7,"Current","Rep1"
"3",581114,2037,52300.26,"Current","Rep1"
"4",113242,2037,10191.78,"Current","Rep1"
"5",100151,2037,9013.59,"Current","Rep1"
"6",295407,2037,26586.63,"Current","Rep1"
"7",66543,2037,5988.87,"Current","Rep1"
"8",151972,2037,13677.48,"Current","Rep1"
"9",277015,2037,24931.35,"Current","Rep1"
"10",27173,2037,2445.57,"Current","Rep1"
"11",296446,2037,26680.14,"Current","Rep1"
"12",277340,2037,24960.6,"Current","Rep1"
"13",5408,2037,486.72,"Current","Rep1"
"0",5423151,2038,488083.59,"Current","Rep1"
"1",1750862,2038,157577.58,"Current","Rep1"
"2",154337,2038,13890.33,"Current","Rep1"
"3",582461,2038,52421.49,"Current","Rep1"
"4",112683,2038,10141.47,"Current","Rep1"
"5",100069,2038,9006.21,"Current","Rep1"
"6",302971,2038,27267.39,"Current","Rep1"
"7",66571,2038,5991.39,"Current","Rep1"
"8",151967,2038,13677.03,"Current","Rep1"
"9",268349,2038,24151.41,"Current","Rep1"
"10",27055,2038,2434.95,"Current","Rep1"
"11",296723,2038,26705.07,"Current","Rep1"
"12",277397,2038,24965.73,"Current","Rep1"
"13",5408,2038,486.72,"Current","Rep1"
"0",5432298,2039,488906.82,"Current","Rep1"
"1",1747488,2039,157273.92,"Current","Rep1"
"2",154372,2039,13893.48,"Current","Rep1"
"3",580722,2039,52264.98,"Current","Rep1"
"4",112028,2039,10082.52,"Current","Rep1"
"5",100052,2039,9004.68,"Current","Rep1"
"6",305062,2039,27455.58,"Current","Rep1"
"7",66779,2039,6010.11,"Current","Rep1"
"8",151827,2039,13664.43,"Current","Rep1"
"9",265265,2039,23873.85,"Current","Rep1"
"10",26735,2039,2406.15,"Current","Rep1"
"11",295259,2039,26573.31,"Current","Rep1"
"12",276708,2039,24903.72,"Current","Rep1"
"13",5409,2039,486.81,"Current","Rep1"
"0",5430571,2040,488751.39,"Current","Rep1"
"1",1749169,2040,157425.21,"Current","Rep1"
"2",154365,2040,13892.85,"Current","Rep1"
"3",581085,2040,52297.65,"Current","Rep1"
"4",111225,2040,10010.25,"Current","Rep1"
"5",99205,2040,8928.45,"Current","Rep1"
"6",307085,2040,27637.65,"Current","Rep1"
"7",66805,2040,6012.45,"Current","Rep1"
"8",151779,2040,13660.11,"Current","Rep1"
"9",263600,2040,23724,"Current","Rep1"
"10",26653,2040,2398.77,"Current","Rep1"
"11",295416,2040,26587.44,"Current","Rep1"
"12",277636,2040,24987.24,"Current","Rep1"
"13",5410,2040,486.9,"Current","Rep1"
"0",5429026,2041,488612.34,"Current","Rep1"
"1",1752657,2041,157739.13,"Current","Rep1"
