"class","npixels","year","areaHa","scenario","rep"
"8",152539,2034,13728.51,"RCP85","Rep2"
"9",287626,2034,25886.34,"RCP85","Rep2"
"10",29191,2034,2627.19,"RCP85","Rep2"
"11",300046,2034,27004.14,"RCP85","Rep2"
"12",278083,2034,25027.47,"RCP85","Rep2"
"13",5396,2034,485.64,"RCP85","Rep2"
"0",5432522,2035,488926.98,"RCP85","Rep2"
"1",1744303,2035,156987.27,"RCP85","Rep2"
"2",153075,2035,13776.75,"RCP85","Rep2"
"3",574098,2035,51668.82,"RCP85","Rep2"
"4",208146,2035,18733.14,"RCP85","Rep2"
"6",294270,2035,26484.3,"RCP85","Rep2"
"7",66624,2035,5996.16,"RCP85","Rep2"
"8",152512,2035,13726.08,"RCP85","Rep2"
"9",286250,2035,25762.5,"RCP85","Rep2"
"10",28847,2035,2596.23,"RCP85","Rep2"
"11",295727,2035,26615.43,"RCP85","Rep2"
"12",278233,2035,25040.97,"RCP85","Rep2"
"13",5397,2035,485.73,"RCP85","Rep2"
"0",5431337,2036,488820.33,"RCP85","Rep2"
"1",1749514,2036,157456.26,"RCP85","Rep2"
"2",154500,2036,13905,"RCP85","Rep2"
"3",574322,2036,51688.98,"RCP85","Rep2"
"4",207748,2036,18697.32,"RCP85","Rep2"
"6",295950,2036,26635.5,"RCP85","Rep2"
"7",66671,2036,6000.39,"RCP85","Rep2"
"8",152503,2036,13725.27,"RCP85","Rep2"
"9",280687,2036,25261.83,"RCP85","Rep2"
"10",28575,2036,2571.75,"RCP85","Rep2"
"11",294396,2036,26495.64,"RCP85","Rep2"
"12",278402,2036,25056.18,"RCP85","Rep2"
"13",5399,2036,485.91,"RCP85","Rep2"
"0",5430264,2037,488723.76,"RCP85","Rep2"
"1",1751182,2037,157606.38,"RCP85","Rep2"
"2",154799,2037,13931.91,"RCP85","Rep2"
"3",574719,2037,51724.71,"RCP85","Rep2"
"4",203621,2037,18325.89,"RCP85","Rep2"
"6",299841,2037,26985.69,"RCP85","Rep2"
"7",66709,2037,6003.81,"RCP85","Rep2"
"8",152485,2037,13723.65,"RCP85","Rep2"
"9",278537,2037,25068.33,"RCP85","Rep2"
"10",28445,2037,2560.05,"RCP85","Rep2"
"11",295411,2037,26586.99,"RCP85","Rep2"
"12",278593,2037,25073.37,"RCP85","Rep2"
"13",5398,2037,485.82,"RCP85","Rep2"
"0",5429089,2038,488618.01,"RCP85","Rep2"
"1",1752491,2038,157724.19,"RCP85","Rep2"
"2",155035,2038,13953.15,"RCP85","Rep2"
"3",575264,2038,51773.76,"RCP85","Rep2"
"4",202483,2038,18223.47,"RCP85","Rep2"
"6",308037,2038,27723.33,"RCP85","Rep2"
"7",66747,2038,6007.23,"RCP85","Rep2"
"8",152492,2038,13724.28,"RCP85","Rep2"
"9",270151,2038,24313.59,"RCP85","Rep2"
"10",28317,2038,2548.53,"RCP85","Rep2"
"11",295772,2038,26619.48,"RCP85","Rep2"
"12",278728,2038,25085.52,"RCP85","Rep2"
"13",5398,2038,485.82,"RCP85","Rep2"
"0",5437982,2039,489418.38,"RCP85","Rep2"
"1",1750218,2039,157519.62,"RCP85","Rep2"
"2",155296,2039,13976.64,"RCP85","Rep2"
"3",573429,2039,51608.61,"RCP85","Rep2"
"4",200786,2039,18070.74,"RCP85","Rep2"
"6",310609,2039,27954.81,"RCP85","Rep2"
"7",67083,2039,6037.47,"RCP85","Rep2"
"8",152261,2039,13703.49,"RCP85","Rep2"
"9",266360,2039,23972.4,"RCP85","Rep2"
"10",27897,2039,2510.73,"RCP85","Rep2"
"11",294329,2039,26489.61,"RCP85","Rep2"
"12",278367,2039,25053.03,"RCP85","Rep2"
"13",5387,2039,484.83,"RCP85","Rep2"
"0",5436592,2040,489293.28,"RCP85","Rep2"
"1",1751751,2040,157657.59,"RCP85","Rep2"
"2",155299,2040,13976.91,"RCP85","Rep2"
"3",573230,2040,51590.7,"RCP85","Rep2"
"4",199441,2040,17949.69,"RCP85","Rep2"
"6",313572,2040,28221.48,"RCP85","Rep2"
"7",67130,2040,6041.7,"RCP85","Rep2"
"8",152242,2040,13701.78,"RCP85","Rep2"
"9",264044,2040,23763.96,"RCP85","Rep2"
"10",27756,2040,2498.04,"RCP85","Rep2"
"11",294376,2040,26493.84,"RCP85","Rep2"
"12",279185,2040,25126.65,"RCP85","Rep2"
"13",5386,2040,484.74,"RCP85","Rep2"
"0",5435209,2041,489168.81,"RCP85","Rep2"
"1",1754299,2041,157886.91,"RCP85","Rep2"
"2",156089,2041,14048.01,"RCP85","Rep2"
"3",573160,2041,51584.4,"RCP85","Rep2"
"4",198790,2041,17891.1,"RCP85","Rep2"
"6",315457,2041,28391.13,"RCP85","Rep2"
"7",67152,2041,6043.68,"RCP85","Rep2"
"8",152222,2041,13699.98,"RCP85","Rep2"
"9",261025,2041,23492.25,"RCP85","Rep2"
"10",27651,2041,2488.59,"RCP85","Rep2"
"11",292893,2041,26360.37,"RCP85","Rep2"
"12",280670,2041,25260.3,"RCP85","Rep2"
"13",5387,2041,484.83,"RCP85","Rep2"
"0",5433950,2042,489055.5,"RCP85","Rep2"
"1",1758296,2042,158246.64,"RCP85","Rep2"
"2",158701,2042,14283.09,"RCP85","Rep2"
"3",573680,2042,51631.2,"RCP85","Rep2"
"4",197636,2042,17787.24,"RCP85","Rep2"
"6",317233,2042,28550.97,"RCP85","Rep2"
"7",67191,2042,6047.19,"RCP85","Rep2"
"8",152211,2042,13698.99,"RCP85","Rep2"
"9",254777,2042,22929.93,"RCP85","Rep2"
"10",27571,2042,2481.39,"RCP85","Rep2"
"11",292054,2042,26284.86,"RCP85","Rep2"
"12",281316,2042,25318.44,"RCP85","Rep2"
"13",5388,2042,484.92,"RCP85","Rep2"
"0",5432711,2043,488943.99,"RCP85","Rep2"
"1",1760588,2043,158452.92,"RCP85","Rep2"
"2",158699,2043,14282.91,"RCP85","Rep2"
"3",574112,2043,51670.08,"RCP85","Rep2"
"4",196361,2043,17672.49,"RCP85","Rep2"
"6",318993,2043,28709.37,"RCP85","Rep2"
"7",67216,2043,6049.44,"RCP85","Rep2"
"8",152186,2043,13696.74,"RCP85","Rep2"
"9",253478,2043,22813.02,"RCP85","Rep2"
"10",27480,2043,2473.2,"RCP85","Rep2"
"11",291188,2043,26206.92,"RCP85","Rep2"
"12",281605,2043,25344.45,"RCP85","Rep2"
"13",5387,2043,484.83,"RCP85","Rep2"
"0",5439454,2044,489550.86,"RCP85","Rep2"
"1",1759841,2044,158385.69,"RCP85","Rep2"
"2",158850,2044,14296.5,"RCP85","Rep2"
"3",577655,2044,51988.95,"RCP85","Rep2"
"4",190196,2044,17117.64,"RCP85","Rep2"
"6",320731,2044,28865.79,"RCP85","Rep2"
"7",67434,2044,6069.06,"RCP85","Rep2"
"8",151979,2044,13678.11,"RCP85","Rep2"
"9",250829,2044,22574.61,"RCP85","Rep2"
"10",27108,2044,2439.72,"RCP85","Rep2"
"11",289439,2044,26049.51,"RCP85","Rep2"
"12",281121,2044,25300.89,"RCP85","Rep2"
"13",5367,2044,483.03,"RCP85","Rep2"
"0",5438160,2045,489434.4,"RCP85","Rep2"
"1",1763340,2045,158700.6,"RCP85","Rep2"
"2",158371,2045,14253.39,"RCP85","Rep2"
"3",587382,2045,52864.38,"RCP85","Rep2"
"4",186268,2045,16764.12,"RCP85","Rep2"
"6",321114,2045,28900.26,"RCP85","Rep2"
"7",67481,2045,6073.29,"RCP85","Rep2"
"8",151961,2045,13676.49,"RCP85","Rep2"
"9",244398,2045,21995.82,"RCP85","Rep2"
"10",27007,2045,2430.63,"RCP85","Rep2"
"11",287763,2045,25898.67,"RCP85","Rep2"
"12",281392,2045,25325.28,"RCP85","Rep2"
"13",5367,2045,483.03,"RCP85","Rep2"
"0",5436878,2046,489319.02,"RCP85","Rep2"
"1",1769971,2046,159297.39,"RCP85","Rep2"
"2",157875,2046,14208.75,"RCP85","Rep2"
"3",588331,2046,52949.79,"RCP85","Rep2"
"4",183677,2046,16530.93,"RCP85","Rep2"
"6",323456,2046,29111.04,"RCP85","Rep2"
"7",67528,2046,6077.52,"RCP85","Rep2"
"8",151976,2046,13677.84,"RCP85","Rep2"
"9",243707,2046,21933.63,"RCP85","Rep2"
"10",26907,2046,2421.63,"RCP85","Rep2"
"11",282723,2046,25445.07,"RCP85","Rep2"
"12",281608,2046,25344.72,"RCP85","Rep2"
"13",5367,2046,483.03,"RCP85","Rep2"
"0",5435600,2047,489204,"RCP85","Rep2"
"1",1771262,2047,159413.58,"RCP85","Rep2"
"2",157762,2047,14198.58,"RCP85","Rep2"
"3",593324,2047,53399.16,"RCP85","Rep2"
"4",176805,2047,15912.45,"RCP85","Rep2"
"6",325700,2047,29313,"RCP85","Rep2"
"7",67560,2047,6080.4,"RCP85","Rep2"
"8",152303,2047,13707.27,"RCP85","Rep2"
"9",243480,2047,21913.2,"RCP85","Rep2"
"10",26811,2047,2412.99,"RCP85","Rep2"
"11",282217,2047,25399.53,"RCP85","Rep2"
"12",281814,2047,25363.26,"RCP85","Rep2"
"13",5366,2047,482.94,"RCP85","Rep2"
"0",5434430,2048,489098.7,"RCP85","Rep2"
"1",1772859,2048,159557.31,"RCP85","Rep2"
"2",157850,2048,14206.5,"RCP85","Rep2"
"3",593693,2048,53432.37,"RCP85","Rep2"
"4",174337,2048,15690.33,"RCP85","Rep2"
"6",328226,2048,29540.34,"RCP85","Rep2"
"7",67607,2048,6084.63,"RCP85","Rep2"
"8",155706,2048,14013.54,"RCP85","Rep2"
"9",242630,2048,21836.7,"RCP85","Rep2"
"10",26707,2048,2403.63,"RCP85","Rep2"
"11",278486,2048,25063.74,"RCP85","Rep2"
"12",282106,2048,25389.54,"RCP85","Rep2"
"13",5367,2048,483.03,"RCP85","Rep2"
"0",5442642,2049,489837.78,"RCP85","Rep2"
