Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgDefoliation,
98, 14, 1269169, 11115.7838806337, 331.351577910106, 164.732447767003, 10.7963640137586, 
98, 17, 931229, 10993.7696366844, 323.922298445168, 142.994603905162, 13.1149116419247, 
98, 20, 740833, 10906.1515226779, 304.408787269363, 131.696155543827, 11.4555554560482, 
98, 24, 31026, 7284.61048797783, 240.982110204683, 108.405305227873, 8.67703694198594, 
98, 25, 55690, 6179.15297180822, 211.450311516295, 97.001562219429, 5.6206297319505, 
98, 26, 5094, 6720.49116607774, 221.646965419406, 100.944444444444, 5.95142421536237, 
98, 27, 26357, 5174.91167431802, 183.787228973313, 88.1575293091019, 3.71001322891456, 
98, 28, 7166, 4988.87761652247, 192.005998241864, 97.0556795981021, 3.89630789158051, 
98, 31, 4108, 4122.05696202532, 193.118793973337, 102.471032132425, 2.1143942229467, 
98, 33, 55919, 11234.3737012464, 335.133662232826, 196.599974963787, 7.73788021220311, 
98, 35, 3291, 11558.7967183227, 391.424383124683, 213.364023093285, 7.70736289105124, 
98, 36, 1891, 11627.1581173982, 362.914039825993, 204.109465891063, 8.3486822281575, 
98, 37, 78234, 10845.4505330163, 307.646427336411, 179.276682772196, 6.29700937269326, 
98, 38, 36436, 11100.241848721, 335.05855682796, 200.225299154682, 7.41359841693594, 
98, 40, 52088, 10879.6933458762, 321.839612282954, 181.898729073875, 7.5393079299878, 
98, 45, 46044, 11543.1217965424, 330.9035876057, 171.249435322735, 10.4313281725041, 
98, 52, 179922, 8384.48867842732, 263.774038267638, 115.359605829193, 8.75746579953698, 
98, 53, 78866, 7536.58524586007, 261.707668020283, 115.590444551518, 9.34216492270103, 
98, 62, 8624, 11495.501971243, 363.117962879133, 207.869086270872, 6.75428662545912, 
98, 65, 12462, 5012.39223238645, 195.901868153267, 101.589632482748, 2.41810936820114, 
98, 79, 32523, 11706.850382806, 329.665486466012, 172.453432955139, 11.405742499632, 
98, 80, 42117, 10875.006220766, 305.253658697629, 176.243345917326, 7.7928860593341, 
98, 88, 5372, 8222.02885331348, 268.048416760637, 123.322970960536, 7.97031682398898, 
99, 2, 10512, 12045.2098554033, 385.14661813622, 230.12947108067, 0, 
99, 3, 6756, 12012.0013321492, 385.3453766741, 237.774718768502, 0, 
99, 4, 22531, 11563.6811060317, 365.662922717379, 224.01322622165, 0, 
99, 5, 21273, 11575.7933060687, 354.461840717138, 209.313025901377, 0, 
99, 7, 51231, 10843.869024614, 328.731341012859, 185.409049208487, 0, 
99, 8, 136297, 10806.8388812666, 319.698322083407, 188.251582940197, 0, 
99, 11, 115650, 10843.9678253351, 342.59715272323, 185.665248594898, 0, 
99, 12, 55809, 10994.0830869573, 344.198992678866, 192.065957103693, 0, 
99, 14, 1269169, 10955.8927810244, 355.841597779886, 170.084845280652, 0, 
99, 17, 931229, 10812.5585060173, 348.815360578086, 148.20748924271, 0, 
99, 20, 740833, 10735.8073992384, 327.50762564009, 136.353753140046, 0, 
99, 24, 31026, 7192.66109069812, 255.292031446571, 111.677206214143, 0, 
99, 25, 55690, 6124.61659184773, 222.668988715082, 100.030256778596, 0, 
99, 26, 5094, 6655.70710639969, 234.694407740676, 103.969768354927, 0, 
99, 27, 26357, 5149.25302576166, 193.038887015351, 90.5661114694389, 0, 
99, 28, 7166, 4997.04032933296, 203.72845494509, 100.337845380966, 0, 
99, 31, 4108, 4173.05209347614, 207.091655096079, 106.392161635833, 0, 
99, 33, 55919, 11080.2555124376, 341.655522648075, 199.032243065863, 0, 
99, 35, 3291, 11459.2117897296, 383.988312597087, 213.168337891218, 0, 
99, 36, 1891, 11508.0534108937, 368.625785306835, 206.530936012692, 0, 
99, 37, 78234, 10686.7844032007, 321.041986369866, 182.692179870644, 0, 
99, 38, 36436, 10954.9350916676, 341.314505602342, 202.180919969261, 0, 
99, 40, 52088, 10737.5287590232, 342.967792148653, 186.499577637844, 0, 
99, 45, 46044, 11356.9526322648, 353.939949385408, 176.290591608027, 0, 
99, 52, 179922, 8279.29809028357, 281.455250083755, 118.88426651549, 0, 
99, 53, 78866, 7450.2771790125, 277.459214456455, 119.394745517714, 0, 
99, 62, 8624, 11370.6880797774, 359.321264563682, 208.315051020408, 0, 
99, 65, 12462, 5034.60487883165, 209.63164217461, 105.124458353394, 0, 
99, 79, 32523, 11498.0890754235, 352.043687160022, 177.306060326538, 0, 
99, 80, 42117, 10693.7681933661, 325.175011978026, 180.936059073533, 0, 
99, 88, 5372, 8148.99385703649, 282.80680322937, 126.093075204765, 0, 
100, 2, 10512, 11913.2491438356, 353.502236043354, 223.143930745814, 0, 
100, 3, 6756, 11830.443901717, 351.026252578672, 231.779603315571, 0, 
100, 4, 22531, 11406.5540810439, 331.454175795538, 217.68616572722, 0, 
100, 5, 21273, 11403.695905608, 315.537621233389, 202.581535279462, 0, 
100, 7, 51231, 10634.7065058266, 278.142047379328, 177.991294333509, 0, 
100, 8, 136297, 10578.9030939786, 271.976670325146, 181.648172740412, 0, 
100, 11, 115650, 10644.1005533939, 288.298089289282, 178.208828361435, 0, 
100, 12, 55809, 10745.8699492913, 288.821004978089, 185.747943880019, 0, 
100, 14, 1269169, 10747.8095328518, 297.453368191719, 162.369704113479, 0, 
100, 17, 931229, 10605.3976658803, 288.226084595874, 139.663676711099, 0, 
100, 20, 740833, 10514.3042129603, 270.384521084081, 128.805393388253, 0, 
100, 24, 31026, 7110.40317797976, 218.442577066152, 105.872784116547, 0, 
100, 25, 55690, 6039.21432932304, 192.516292345178, 96.2513018495242, 0, 
100, 26, 5094, 6539.88417746368, 200.140872287014, 99.9165685119749, 0, 
100, 27, 26357, 5082.95469894146, 168.732595232577, 87.810372955951, 0, 
100, 28, 7166, 5003.42101590846, 183.858211517992, 98.0279095729835, 0, 
100, 31, 4108, 4213.53334956183, 191.310408307187, 105.474926971762, 0, 
100, 33, 55919, 10871.8349934727, 299.171165521415, 193.023462508271, 0, 
100, 35, 3291, 11346.193862048, 351.294096910336, 206.198419933151, 0, 
100, 36, 1891, 11374.6314119513, 325.66440355958, 198.988365943945, 0, 
100, 37, 78234, 10473.7683487998, 271.488154772035, 175.541708208707, 0, 
100, 38, 36436, 10758.7455812932, 301.107058187756, 196.209792512899, 0, 
100, 40, 52088, 10513.287455844, 288.186767011798, 179.625211181078, 0, 
100, 45, 46044, 11156.6991573278, 294.224917269327, 167.296846494657, 0, 
100, 52, 179922, 8126.33749069041, 237.975169661684, 113.339524905237, 0, 
100, 53, 78866, 7332.87406486953, 235.971243723513, 114.045900641595, 0, 
100, 62, 8624, 11211.5522959184, 325.662805998497, 202.186804267161, 0, 
100, 65, 12462, 4995.73158401541, 188.845027343922, 104.428261916225, 0, 
100, 79, 32523, 11232.1255419242, 293.721617989178, 170.009193493835, 0, 
100, 80, 42117, 10442.4368307334, 273.176748785861, 174.546311465679, 0, 
100, 88, 5372, 8075.90990320179, 247.427266847535, 120.473380491437, 0, 
101, 2, 10512, 11788.4146689498, 358.503502796839, 219.974505327245, 0, 
101, 3, 6756, 11707.1253700414, 355.855778739613, 227.67199526347, 0, 
101, 4, 22531, 11276.4353113488, 336.927823982716, 214.515600727886, 0, 
101, 5, 21273, 11265.9200864946, 322.79243102191, 199.44046443849, 0, 
101, 7, 51231, 10466.7133181082, 287.698552265251, 174.930022837735, 0, 
101, 8, 136297, 10407.1788887503, 280.513174080283, 178.36930379979, 0, 
101, 11, 115650, 10488.851897968, 297.905038962269, 175.071552096844, 0, 
101, 12, 55809, 10583.4816427458, 298.177037708147, 181.956978265154, 0, 
101, 14, 1269169, 10606.2513959922, 308.836698821871, 158.983404889341, 0, 
101, 17, 931229, 10458.8070130977, 299.497641735689, 136.069514587712, 0, 
101, 20, 740833, 10366.2723731259, 280.097568628353, 125.02654444389, 0, 
101, 24, 31026, 7037.18555405144, 226.280067993728, 104.102430219816, 0, 
101, 25, 55690, 5987.44244927276, 200.514966849643, 95.0157838031963, 0, 
101, 26, 5094, 6474.97899489596, 207.208526767525, 97.7658029053789, 0, 
101, 27, 26357, 5052.47239822438, 174.982748960755, 86.664908752893, 0, 
101, 28, 7166, 5014.05944739045, 190.600893902546, 97.9546469439018, 0, 
101, 31, 4108, 4255.84420642648, 197.241871563099, 106.040895813048, 0, 
101, 33, 55919, 10728.4526726157, 306.414138646906, 189.466996906239, 0, 
101, 35, 3291, 11243.1324825281, 358.96633671208, 203.5548465512, 0, 
101, 36, 1891, 11260.3373876256, 333.518555466091, 196.003172924379, 0, 
101, 37, 78234, 10310.3985095994, 281.432374955437, 172.477810159266, 0, 
101, 38, 36436, 10619.8296739488, 308.064753849318, 192.80829399495, 0, 
