LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	26	PICEABIE	0.081	698	20940
0	26	PICERUBE	0.077	698	20940
0	26	PINURESI	0.122	227	6810
0	26	PINUSTRO	0.059	698	20940
0	26	POPUGRAN	0.059	698	20940
0	26	POPUTREM	0.555	698	20940
0	26	PRUNPENS	0.803	698	20940
0	26	PRUNSERO	0.003	698	20940
0	26	QUERALBA	0.003	698	20940
0	26	QUERRUBR	0.165	698	20940
0	26	TILIAMER	0	698	20940
0	26	TSUGCANA	0.146	614	18420
0	27	ABIEBALS	0.801	722	21660
0	27	ACERPENS	0	722	9590
0	27	ACERRUBR	0	722	21660
0	27	ACERSACC	0.001	578	17328
0	27	BETUALLE	0.038	578	17328
0	27	BETULENT	0	722	21660
0	27	BETUPAPY	0.896	722	21660
0	27	CARYCORD	0	722	21660
0	27	CARYOVAT	0	722	21660
0	27	FAGUGRAN	0	578	17328
0	27	FRAXAMER	0	722	21660
0	27	PICEABIE	0.037	722	21660
0	27	PICERUBE	0.037	722	21660
0	27	PINURESI	0.056	209	6270
0	27	PINUSTRO	0.027	722	21660
0	27	POPUGRAN	0.027	722	21660
0	27	POPUTREM	0.512	722	21660
0	27	PRUNPENS	0.772	722	21660
0	27	PRUNSERO	0.001	722	21660
0	27	QUERALBA	0.001	722	21660
0	27	QUERRUBR	0.115	722	21660
0	27	TILIAMER	0	722	21660
0	27	TSUGCANA	0.102	633	18990
0	28	ABIEBALS	0.76	741	22230
0	28	ACERPENS	0	741	9510
0	28	ACERRUBR	0	722	21660
0	28	ACERSACC	0.001	593	17784
0	28	BETUALLE	0.04	593	17784
0	28	BETULENT	0	741	22230
0	28	BETUPAPY	0.869	741	22230
0	28	CARYCORD	0	741	22230
0	28	CARYOVAT	0	741	22230
0	28	FAGUGRAN	0	593	17784
0	28	FRAXAMER	0	741	22230
0	28	PICEABIE	0.039	741	22230
0	28	PICERUBE	0.039	741	22230
0	28	PINURESI	0.058	206	6180
0	28	PINUSTRO	0.028	741	22230
0	28	POPUGRAN	0.028	741	22230
0	28	POPUTREM	0.464	741	22230
0	28	PRUNPENS	0.733	741	22230
0	28	PRUNSERO	0.001	741	22230
0	28	QUERALBA	0.001	741	22230
0	28	QUERRUBR	0.098	741	22230
0	28	TILIAMER	0	741	22230
0	28	TSUGCANA	0.087	647	19410
0	31	ABIEBALS	0.673	674	20220
0	31	ACERPENS	0	674	8870
0	31	ACERRUBR	0	658	19740
0	31	ACERSACC	0	539	16176
0	31	BETUALLE	0	539	16176
0	31	BETULENT	0	674	20220
0	31	BETUPAPY	0.836	674	20220
0	31	CARYCORD	0	674	20220
0	31	CARYOVAT	0	674	20220
0	31	FAGUGRAN	0	539	16176
0	31	FRAXAMER	0	674	20220
0	31	PICEABIE	0	674	20220
0	31	PICERUBE	0	674	20220
0	31	PINURESI	0	171	5130
0	31	PINUSTRO	0	674	20220
0	31	POPUGRAN	0	674	20220
0	31	POPUTREM	0.35	674	20220
0	31	PRUNPENS	0.644	674	20220
0	31	PRUNSERO	0	674	20220
0	31	QUERALBA	0	674	20220
0	31	QUERRUBR	0.012	674	20220
0	31	TILIAMER	0	674	20220
0	31	TSUGCANA	0.01	592	17760
0	33	ABIEBALS	0.885	489	14670
0	33	ACERPENS	0.913	1178	11780
0	33	ACERRUBR	0.33	951	28530
0	33	ACERSACC	0.8	1283	38490
0	33	BETUALLE	0.985	1181	35430
0	33	BETULENT	0.649	1181	35430
0	33	BETUPAPY	0.601	1237	37110
0	33	CARYCORD	0.34	1364	40920
0	33	CARYOVAT	0.005	1364	40920
0	33	FAGUGRAN	0.351	1072	32160
0	33	FRAXAMER	0.344	1095	32850
0	33	PICEABIE	0.901	293	14650
0	33	PICERUBE	0.883	301	15050
0	33	PINURESI	0.834	323	9690
0	33	PINUSTRO	0.856	972	29160
0	33	POPUGRAN	0.855	1392	41760
0	33	POPUTREM	0.901	1111	33330
0	33	PRUNPENS	0.946	1240	37200
0	33	PRUNSERO	0.403	1376	41280
0	33	QUERALBA	0.439	1290	38700
0	33	QUERRUBR	0.84	1027	30810
0	33	TILIAMER	0.632	1710	51300
0	33	TSUGCANA	0.779	440	13200
0	35	ABIEBALS	0.848	450	13500
0	35	ACERPENS	0.985	1176	11760
0	35	ACERRUBR	0.38	951	28530
0	35	ACERSACC	0.874	1293	38790
0	35	BETUALLE	0.997	1186	35580
0	35	BETULENT	0.761	1186	35580
0	35	BETUPAPY	0.462	1248	37440
0	35	CARYCORD	0.412	1395	41850
0	35	CARYOVAT	0	1395	41850
0	35	FAGUGRAN	0.42	1072	32160
0	35	FRAXAMER	0.401	1101	33030
0	35	PICEABIE	0.901	270	13500
0	35	PICERUBE	0.901	278	13900
0	35	PINURESI	0.686	318	9540
